,Title,Year,First Author,Author Count,Citation Count,Citation Five Years,Bibcode
3416,A Tidal Disruption Flare in A1689 from an Archival X-ray Survey of Galaxy Clusters,2010,"Maksym, W. Peter",3,91,42,2010ApJ...722.1035M
3417,Exploring Accretion and Disk-Jet Connections in the LLAGN M81*,2010,"Miller, J. M.",5,26,12,2010ApJ...720.1033M
3418,Toward Understanding the B[e] Phenomenon. IV. Modeling of IRAS 00470+6429,2010,"Carciofi, A. C.",3,22,7,2010ApJ...721.1079C
3419,K-shell Photoabsorption Studies of the Carbon Isonuclear Sequence,2010,"Hasoglu, M. F.",5,25,11,2010ApJ...724.1296H
3420,Dust Evolution in Protoplanetary Disks Around Herbig Ae/Be Stars—the Spitzer View,2010,"Juhász, A.",10,148,74,2010ApJ...721..431J
3421,Dynamical Modeling of the Merger of the Sagittarius Dwarf-Milky Way System,2010,"Myers, J. M.",5,2,0,2010ApJ...723.1057M
3422,A Relationship Between AGN Jet Power and Radio Power,2010,"Cavagnolo, K. W.",6,422,132,2010ApJ...720.1066C
3423,Detailed Numerical Simulations on the Formation of Pillars Around H II Regions,2010,"Gritschneder, Matthias",4,101,61,2010ApJ...723..971G
3424,Type Ib/c Supernovae in Binary Systems. I. Evolution and Properties of the Progenitor Stars,2010,"Yoon, S. -C.",3,392,100,2010ApJ...725..940Y
3425,Structure of Magnetorotational Instability Active Protoplanetary Disks,2010,"Kretke, Katherine A.",2,22,13,2010ApJ...721.1585K
3426,IRS Scan-mapping of the Wasp-waist Nebula (IRAS 16253-2429). I. Derivation of Shock Conditions from H<SUB>2</SUB> Emission and Discovery of 11.3 μm PAH Absorption,2010,"Barsony, Mary",4,16,7,2010ApJ...720...64B
3427,The Spitzer High-redshift Radio Galaxy Survey,2010,"De Breuck, Carlos",11,118,43,2010ApJ...725...36D
3428,Tidal Torquing of Elliptical Galaxies in Cluster Environments,2010,"Pereira, Maria J.",2,22,13,2010ApJ...721..939P
3429,The Arecibo Legacy Fast ALFA Survey. X. The H I Mass Function and Ω_H I from the 40% ALFALFA Survey,2010,"Martin, Ann M.",6,288,102,2010ApJ...723.1359M
3430,The Advection of Supergranules by the Sun's Axisymmetric Flows,2010,"Hathaway, David H.",4,23,12,2010ApJ...725.1082H
3431,The Nature of Starbursts. I. The Star Formation Histories of Eighteen Nearby Starburst Dwarf Galaxies,2010,"McQuinn, Kristen B. W.",10,182,77,2010ApJ...721..297M
3432,Fluctuating Energy Storage and Nonlinear Cascade in an Inhomogeneous Coronal Loop,2010,"Malara, F.",4,8,3,2010ApJ...720..306M
3433,Improving Galactic Center Astrometry by Reducing the Effects of Geometric Distortion,2010,"Yelda, S.",7,216,71,2010ApJ...725..331Y
3434,MASSCLEANage—Stellar Cluster Ages from Integrated Colors,2010,"Popescu, Bogdan",2,43,35,2010ApJ...724..296P
3435,Simplified Models for Photohadronic Interactions in Cosmic Accelerators,2010,"Hümmer, S.",4,148,30,2010ApJ...721..630H
3436,Energy Losses by Anisotropic Viscous Dissipation in Transient Magnetic Reconnection,2010,"Craig, I. J. D.",2,5,2,2010ApJ...725..886C
3437,VERITAS Search for VHE Gamma-ray Emission from Dwarf Spheroidal Galaxies,2010,"Acciari, V. A.",75,86,65,2010ApJ...720.1174A
3438,RR Lyrae Variables in M33. II. Oosterhoff Properties and Radial Trends,2010,"Yang, S. -C.",4,31,13,2010ApJ...724..799Y
3439,The Soft X-ray and Narrow-line Emission of Mrk 573 on Kiloparsec Scales,2010,"Gonzalez-Martin, O.",4,21,7,2010ApJ...723.1748G
3440,Tadpole Galaxies in the Hubble Ultra Deep Field,2010,"Elmegreen, Bruce G.",2,31,19,2010ApJ...722.1895E
3441,Curvature-drift Instability Fails to Generate Pulsar Radio Emission,2010,"Kaganovich, Alexander",2,12,4,2010ApJ...721.1164K
3442,Keck Echellette Spectrograph and Imager Observations of Metal-poor Damped Lyα Systems,2010,"Penprase, Bryan E.",5,74,42,2010ApJ...721....1P
3443,The Evolution of Cloud Cores and the Formation of Stars,2010,"Broderick, Avery E.",2,12,4,2010ApJ...721..493B
3444,The Role of Magnetic Topology in the Heating of Active Region Coronal Loops,2010,"Lee, J. -Y.",7,11,8,2010ApJ...723.1493L
3445,A Doubled Double Hot Spot in J0816+5003 and the Logarithmic Slope of the Lensing Potential,2010,"Blundell, Katherine M.",6,2,1,2010ApJ...723.1319B
3446,Young Starless Cores Embedded in the Magnetically Dominated Pipe Nebula,2010,"Frau, P.",10,37,23,2010ApJ...723.1665F
3447,An Infrared Nebula Associated with δ Cephei: Evidence of Mass Loss?,2010,"Marengo, M.",10,55,31,2010ApJ...725.2392M
3448,Observed Core of a Gradual Solar Energetic Particle Event,2010,"Kocharov, L.",5,9,6,2010ApJ...725.2262K
3449,Giant Gamma-ray Bubbles from Fermi-LAT: Active Galactic Nucleus Activity or Bipolar Galactic Wind?,2010,"Su, Meng",3,949,357,2010ApJ...724.1044S
3450,Field and Globular Cluster Low-mass X-ray Binaries in NGC 4278,2010,"Fabbiano, G.",15,21,15,2010ApJ...725.1824F
3451,"ERRATUM: ""Understanding Spatial and Spectral Morphologies of Ultracompact H II Regions"" <A href=""/abs/2010ApJ...719..831P"">(2010, ApJ, 719, 831)</A>",2010,"Peters, Thomas",5,1,1,2010ApJ...720.1782P
3452,Dichotomy of Solar Coronal Jets: Standard Jets and Blowout Jets,2010,"Moore, Ronald L.",4,283,71,2010ApJ...720..757M
3453,A Change of Rotation Profile in the Envelope in the HH 111 Protostellar System: A Transition to a Disk?,2010,"Lee, Chin-Fei",1,30,8,2010ApJ...725..712L
3454,Solar Wind Density Turbulence and Solar Flare Electron Transport from the Sun to the Earth,2010,"Reid, Hamish A. S.",2,43,24,2010ApJ...721..864R
3455,The Mid-infrared High-ionization Lines from Active Galactic Nuclei and Star-forming Galaxies,2010,"Pereira-Santaella, Miguel",4,99,36,2010ApJ...725.2270P
3456,The Photometric Properties of a Vast Stellar Substructure in the Outskirts of M33,2010,"McConnachie, Alan W.",8,62,29,2010ApJ...723.1038M
3457,Depletion of CCS in a Candidate Warm-carbon-chain-chemistry Source L483,2010,"Hirota, Tomoya",3,9,3,2010ApJ...720.1370H
3458,Star Formation Efficiency in the Barred Spiral Galaxy NGC 4303,2010,"Momose, Rieko",4,62,17,2010ApJ...721..383M
3459,High-redshift X-ray Cooling-core Cluster Associated with the Luminous Radio-loud Quasar 3C 186,2010,"Siemiginowska, Aneta",8,63,32,2010ApJ...722..102S
3460,Dust Obscuration in Lyman Break Galaxies at z ~ 4,2010,"Ho, I. -Ting",4,15,11,2010ApJ...722.1051H
3461,Early Supernovae Light Curves Following the Shock Breakout,2010,"Nakar, Ehud",2,333,106,2010ApJ...725..904N
3462,UV Spectral Synthesis of Vega,2010,"Fitzpatrick, E. L.",1,5,3,2010ApJ...725.2401F
3463,Calibrating Photometric Redshift Distributions with Cross-correlations,2010,"Schulz, A. E.",1,25,14,2010ApJ...724.1305S
3464,The Effect of Host Galaxies on Type Ia Supernovae in the SDSS-II Supernova Survey,2010,"Lampeitl, Hubert",21,271,93,2010ApJ...722..566L
3465,Determining the Initial Helium Abundance of the Sun,2010,"Serenelli, Aldo M.",2,73,25,2010ApJ...719..865S
3466,Infrared Luminosities and Aromatic Features in the 24 μm Flux-limited Sample of 5MUSES,2010,"Wu, Yanling",15,66,30,2010ApJ...723..895W
3467,"Mechanistical Studies on the Formation and Nature of the ""XCN"" (OCN<SUP>-</SUP>) Species in Interstellar Ices",2010,"Bennett, C. J.",6,19,9,2010ApJ...723..641B
3468,"Short Gamma-ray Bursts from Dynamically Assembled Compact Binaries in Globular Clusters: Pathways, Rates, Hydrodynamics, and Cosmological Setting",2010,"Lee, William H.",3,137,56,2010ApJ...720..953L
3469,Chandra HETG Observations of the Colliding Stellar Wind System WR 147,2010,"Zhekov, Svetozar A.",2,24,11,2010ApJ...721..518Z
3470,Dynamical K Edge and Line Variations in the X-ray Spectrum of the Ultra-compact Binary 4U 0614+091,2010,"Schulz, N. S.",4,15,10,2010ApJ...725.2417S
3471,A Rising Cool Column as a Signature of Helical Flux Emergence and Formation of Prominence and Coronal Cavity,2010,"Okamoto, Takenori J.",3,28,14,2010ApJ...719..583O
3472,"An Extended Grid of Nova Models. III. Very Luminous, Red Novae",2010,"Shara, Michael M.",5,34,16,2010ApJ...725..831S
3473,Abundances of Galactic Anticenter Planetary Nebulae and the Oxygen Abundance Gradient in the Galactic Disk,2010,"Henry, R. B. C.",6,123,58,2010ApJ...724..748H
3474,The Hercules Satellite: A Stellar Stream in the Milky Way Halo?,2010,"Martin, Nicolas F.",2,40,13,2010ApJ...721.1333M
3475,Nonrelativistic Collisionless Shocks in Weakly Magnetized Electron-Ion Plasmas: Two-dimensional Particle-in-cell Simulation of Perpendicular Shock,2010,"Kato, Tsunehiko N.",2,60,20,2010ApJ...721..828K
3476,Numerical Simulations of Thermohaline Convection: Implications for Extra-mixing in Low-mass RGB Stars,2010,"Denissenkov, Pavel A.",1,124,63,2010ApJ...723..563D
3477,"Active Disk Building in a Local H I-massive LIRG: The Synergy Between Gas, Dust, and Star Formation",2010,"Cluver, M. E.",8,22,9,2010ApJ...725.1550C
3478,<SUP>56</SUP>Ni Production in Double-degenerate White Dwarf Collisions,2010,"Raskin, Cody",6,74,30,2010ApJ...724..111R
3479,On the Inference of Thermal Inversions in Hot Jupiter Atmospheres,2010,"Madhusudhan, N.",2,123,71,2010ApJ...725..261M
3480,The Estimation of Star Formation Rates and Stellar Population Ages of High-redshift Galaxies from Broadband Photometry,2010,"Lee, Seong-Kook",5,115,50,2010ApJ...725.1644L
3481,Particle Acceleration by Collisionless Shocks Containing Large-scale Magnetic-field Variations,2010,"Guo, F.",3,56,22,2010ApJ...725..128G
3482,Wavelength Calibration of the VLT-UVES Spectrograph,2010,"Whitmore, Jonathan B.",3,66,41,2010ApJ...723...89W
3483,Properties of the Diffuse Neutral Helium in the Inner Heliosphere,2010,"Moise, E.",3,15,1,2010ApJ...722.1411M
3484,The Origin and Evolution of the Halo PN BoBn 1: From a Viewpoint of Chemical Abundances Based on Multiwavelength Spectra,2010,"Otsuka, Masaaki",4,49,23,2010ApJ...723..658O
3485,"Constraining the Outburst Properties of the SMBH in Fornax A Through X-ray, Infrared, and Radio Observations",2010,"Lanz, Lauranne",6,44,13,2010ApJ...721.1702L
3486,On the Baryon Fractions in Clusters and Groups of Galaxies,2010,"Dai, Xinyu",4,123,66,2010ApJ...719..119D
3487,The High-velocity Molecular Outflows in Massive Cluster-forming Region G10.6-0.4,2010,"Liu, Hauyu Baobab",3,25,15,2010ApJ...725.2190L
3488,NeedATool: A Needlet Analysis Tool for Cosmological Data Processing,2010,"Pietrobon, Davide",4,15,10,2010ApJ...723....1P
3489,M/L<SUB>B</SUB> and Color Evolution for a Deep Sample of M <SUP>sstarf</SUP> Cluster Galaxies at z ~ 1: The Formation Epoch and the Tilt of the Fundamental Plane,2010,"Holden, B. P.",5,45,22,2010ApJ...724..714H
3490,On the Doppler Shift and Asymmetry of Stokes Profiles of Photospheric Fe I and Chromospheric Mg I Lines,2010,"Deng, Na",3,10,3,2010ApJ...719..385D
3491,"Modeling Multi-wavelength Stellar Astrometry. II. Determining Absolute Inclinations, Gravity-darkening Coefficients, and Spot Parameters of Single Stars with SIM Lite",2010,"Coughlin, Jeffrey L.",3,5,5,2010ApJ...723.1351C
3492,Statistical Analysis of Dwarf Galaxies and Their Globular Clusters in the Local Volume,2010,"Chattopadhyay, Tanuka",3,9,5,2010ApJ...724..678C
3493,Chromospheric Variability in Sloan Digital Sky Survey M Dwarfs. II. Short-timescale Hα Variability,2010,"Kruse, E. A.",8,39,19,2010ApJ...722.1352K
3494,Star-forming Region Sh 2-233IR. I. Deep Near-infrared Observations toward the Embedded Stellar Clusters,2010,"Yan, Chi-Hung",5,9,5,2010ApJ...720....1Y
3495,Time-Dependent Models of Flares from Sagittarius A*,2010,"Dodds-Eden, Katie",7,93,33,2010ApJ...725..450D
3496,Effect of Finite Larmor Radius on Cosmic-ray Penetration into an Interplanetary Magnetic Flux Rope,2010,"Kubo, Yûki",2,18,8,2010ApJ...720..853K
3497,The State of Star Formation and the Intergalactic Medium at z ~ 6,2010,"Cen, Renyue",1,4,2,2010ApJ...725..115C
3498,Spitzer Spectral Line Mapping of Protostellar Outflows. II. H<SUB>2</SUB> Emission in L1157,2010,"Nisini, Brunella",7,46,33,2010ApJ...724...69N
3499,Contamination of the Central Sunyaev-Zel'Dovich Decrements in AMiBA Galaxy Cluster Observations,2010,"Liu, Guo-Chin",29,5,4,2010ApJ...720..608L
3500,Anisotropic Galactic Outflows and Enrichment of the Intergalactic Medium. II. Numerical Simulations,2010,"Pinsonneault, Steeve",3,12,9,2010ApJ...725.2087P
3501,Rotation of the Milky Way and the Formation of the Magellanic Stream,2010,"Růžička, Adam",3,30,16,2010ApJ...725..369R
3502,The Complex Structure of the Multi-phase Galactic Wind in a Starburst Merger,2010,"Shih, Hsin-Yi",2,30,8,2010ApJ...724.1430S
3503,A New Method for the Assessment of Age and Age Spread of Pre-main-sequence Stars in Young Stellar Associations of the Magellanic Clouds,2010,"Da Rio, Nicola",3,56,42,2010ApJ...723..166D
3504,Changes of the Solar Meridional Velocity Profile During Cycle 23 Explained by Flows Toward the Activity Belts,2010,"Cameron, R. H.",2,41,15,2010ApJ...720.1030C
3505,Particle Acceleration in Fragmenting Periodic Reconnecting Current Sheets in Solar Flares,2010,"Gordovskyy, M.",3,62,28,2010ApJ...720.1603G
3506,"Erratum: ""The Allen Telescope Array Twenty-centimeter Survey—A 690 Deg<SUP>2</SUP>, 12 Epoch Radio Data Set. I. Catalog and Long-duration Transient Statistics"" <A href=""/abs/2010ApJ...719...45C"">(2010, ApJ, 719, 45)</A>",2010,"Croft, Steve",51,3,2,2010ApJ...724..827C
3507,Near-infrared Spectroscopy of the Extrasolar Planet HR 8799 b,2010,"Bowler, Brendan P.",4,165,101,2010ApJ...723..850B
3508,Indicators of Intrinsic Active Galactic Nucleus Luminosity: A Multi-wavelength Approach,2010,"LaMassa, Stephanie M.",6,84,37,2010ApJ...720..786L
3509,"The Galaxy Alignment Effect in Abell 1689: Evolution, Radial, and Luminosity Dependence",2010,"Hung, Li-Wei",4,10,5,2010ApJ...720.1483H
3510,UGC8802: A Massive Disk Galaxy in Formation,2010,"Moran, Sean M.",14,19,14,2010ApJ...720.1126M
3511,The Hanle Effect as a Diagnostic of Magnetic Fields in Stellar Envelopes. V. Thin Lines from Keplerian Disks,2010,"Ignace, R.",1,5,2,2010ApJ...725.1040I
3512,"Reconnection Outflows and Current Sheet Observed with Hinode/XRT in the 2008 April 9 ""Cartwheel CME"" Flare",2010,"Savage, Sabrina L.",5,167,67,2010ApJ...722..329S
3513,Bulgeless Giant Galaxies Challenge Our Picture of Galaxy Formation by Hierarchical Clustering,2010,"Kormendy, John",4,261,123,2010ApJ...723...54K
3514,WASP-24 b: A New Transiting Close-in Hot Jupiter Orbiting a Late F-star,2010,"Street, R. A.",31,36,24,2010ApJ...720..337S
3515,Solar Magnetic Tracking. III. Apparent Unipolar Flux Emergence in High-resolution Observations,2010,"Lamb, D. A.",5,47,21,2010ApJ...720.1405L
3516,Periastron Passage Triggering of the 19th Century Eruptions of Eta Carinae,2010,"Kashi, Amit",2,95,36,2010ApJ...723..602K
3517,"A Simple Nonlinear Model for the Rotation of Main-sequence Cool Stars. I. Introduction, Implications for Gyrochronology, and Color-Period Diagrams",2010,"Barnes, Sydney A.",1,223,59,2010ApJ...722..222B
3518,Localization of a Type III Radio Burst Observed by the STEREO Spacecraft,2010,"Thejappa, G.",2,12,6,2010ApJ...720.1395T
3519,A Dusty Mg II Absorber Associated with the Quasar SDSS J003545.13+011441.2,2010,"Jiang, P.",6,19,10,2010ApJ...720..328J
3520,Measuring Dark Matter Ellipticity of A901/902 Using Particle-based Lensing,2010,"Deb, Sanghamitra",4,13,11,2010ApJ...721..124D
3521,Toward Relativistic Orbit Fitting of Galactic Center Stars and Pulsars,2010,"Angélil, Raymond",3,50,13,2010ApJ...720.1303A
3522,Fermi Large Area Telescope Observations of Misaligned Active Galactic Nuclei,2010,"Abdo, A. A.",175,180,100,2010ApJ...720..912A
3523,A Universal Law for Solar-wind Turbulence at Electron Scales,2010,"Meyrand, R.",2,38,17,2010ApJ...721.1421M
3524,"ERRATUM: ""Discovery of a Wide Binary Brown Dwarf Born in Isolation"" <A href=""/abs/2009ApJ...691.1265L"">(2009, ApJ, 691, 1265)</A>",2010,"Luhman, K. L.",5,4,3,2010ApJ...720.1781L
3525,The Synergy of Direct Imaging and Astrometry for Orbit Determination of Exo-Earths,2010,"Shao, Michael",3,16,13,2010ApJ...720..357S
3526,Embryo Impacts and Gas Giant Mergers. I. Dichotomy of Jupiter and Saturn's Core Mass,2010,"Li, Shu Lin",3,20,10,2010ApJ...720.1161L
3527,A Chandra Observation of 3C 288—Reheating the Cool Core of a 3 keV Cluster from a Nuclear Outburst at z = 0.246,2010,"Lal, D. V.",9,11,7,2010ApJ...722.1735L
3528,SPT-CL J0546-5345: A Massive z&gt;1 Galaxy Cluster Selected Via the Sunyaev-Zel'dovich Effect with the South Pole Telescope,2010,"Brodwin, M.",67,103,68,2010ApJ...721...90B
3529,An X-ray-selected Galaxy Cluster in the Lockman Hole at Redshift 1.753,2010,"Henry, J. Patrick",15,32,27,2010ApJ...725..615H
3530,Modeling UV and X-ray Emission in a Post-coronal Mass Ejection Current Sheet,2010,"Ko, Yuan-Kuen",4,39,21,2010ApJ...722..625K
3531,"The 1.6 μm Near-infrared Nuclei of 3C Radio Galaxies: Jets, Thermal Emission, or Scattered Light?",2010,"Baldi, Ranieri D.",9,49,22,2010ApJ...725.2426B
3532,Investigating the Cosmic-ray Ionization Rate Near the Supernova Remnant IC 443 through H<SUP>+</SUP> <SUB>3</SUB> Observations,2010,"Indriolo, Nick",8,78,39,2010ApJ...724.1357I
3533,"Exoplanet Albedo Spectra and Colors as a Function of Planet Phase, Separation, and Metallicity",2010,"Cahoy, Kerri L.",3,127,40,2010ApJ...724..189C
3534,Reionization Simulations Powered by Graphics Processing Units. I. On the Structure of the Ultraviolet Radiation Field,2010,"Aubert, Dominique",2,109,39,2010ApJ...724..244A
3535,Formation Pumping of Molecular Hydrogen in Dark Clouds,2010,"Islam, Farahjabeen",4,16,9,2010ApJ...725.1111I
3536,Chromium Isotope Systematics of Achondrites: Chronology and Isotopic Heterogeneity of the Inner Solar System Bodies,2010,"Yamakawa, Akane",4,97,26,2010ApJ...720..150Y
3537,Low-metallicity Star Formation in High-redshift Galaxies at z ~ 8,2010,"Taniguchi, Y.",3,14,14,2010ApJ...724.1480T
3538,Binary Quasars at High Redshift. II. Sub-Mpc Clustering at z ~ 3-4,2010,"Shen, Yue",11,59,41,2010ApJ...719.1693S
3539,Rotational Coupling of the Pinned Core Superfluid,2010,"Jahan-Miri, M.",1,2,1,2010ApJ...725...29J
3540,The Hot Interstellar Medium of the Interacting Galaxy NGC 4490,2010,"Richings, A. J.",4,16,5,2010ApJ...723.1375R
3541,Monte Carlo Simulations of Globular Cluster Evolution. V. Binary Stellar Evolution,2010,"Chatterjee, Sourav",4,97,21,2010ApJ...719..915C
3542,High Spatial Resolution Imaging of Thermal Emission from Debris Disks,2010,"Moerchen, Margaret M.",3,41,21,2010ApJ...723.1418M
3543,Spectroscopic Analysis of an EIT Wave/dimming Observed by Hinode/EIS,2010,"Chen, F.",3,25,16,2010ApJ...720.1254C
3544,"Erratum: ""The Dissociative Recombination of Protonated Acrylonitrile, CH<SUB>2</SUB>CHCNH<SUP>+</SUP>, with Implications for the Nitrile Chemistry in Dark Molecular Clouds and the Upper Atmosphere of Titan"" <A href=""/abs/2009ApJ...695..317V"">(2009, ApJ, 695, 317)</A>",2010,"Vigren, E.",9,2,1,2010ApJ...724.1571V
3545,Properties of a Polar Coronal Hole During the Solar Minimum in 2007,2010,"Hahn, M.",5,13,8,2010ApJ...725..774H
3546,Infrared Spectroscopy of Naphthalene Aggregation and Cluster Formation in Argon Matrices,2010,"Roser, J. E.",2,12,9,2010ApJ...722.1932R
3547,Time Evolution of Coronal Magnetic Helicity in the Flaring Active Region NOAA 10930,2010,"Park, Sung-Hong",5,38,23,2010ApJ...720.1102P
3548,Multiwavelength Observations of Small-scale Reconnection Events Triggered by Magnetic Flux Emergence in the Solar Atmosphere,2010,"Guglielmino, S. L.",6,102,37,2010ApJ...724.1083G
3549,Multicomponent Theory of Buoyancy Instabilities in Astrophysical Plasma Objects: The Case of Magnetic Field Perpendicular to Gravity,2010,"Nekrasov, Anatoly K.",2,6,6,2010ApJ...724.1165N
3550,The Ubiquity of the Rapid Neutron-capture Process,2010,"Roederer, Ian U.",8,159,81,2010ApJ...724..975R
3551,The Kepler Light Curve of V344 Lyrae: Constraining the Thermal-viscous Limit Cycle Instability,2010,"Cannizzo, J. K.",5,56,35,2010ApJ...725.1393C
3552,Extremal Energy Shifts of Radiation from a Ring Near a Rotating Black Hole,2010,"Karas, Vladimír",2,25,3,2010ApJ...725.1507K
3553,A Closer View of the Radio-FIR Correlation: Disentangling the Contributions of Star Formation and Active Galactic Nucleus Activity,2010,"Morić, I.",6,58,16,2010ApJ...724..779M
3554,Very High Energy Observations of Gamma-ray Bursts with STACEE,2010,"Jarvis, A.",17,4,1,2010ApJ...722..862J
3555,"Spitzer, Very Large Telescope, and Very Large Array Observations of the Galactic Luminous Blue Variable Candidate HD 168625",2010,"Umana, G.",5,33,21,2010ApJ...718.1036U
3556,Probing Nearby Cosmic-ray Accelerators and Interstellar Medium Turbulence with MILAGRO Hot Spots,2010,"Malkov, M. A.",4,55,35,2010ApJ...721..750M
3557,Signatures of Magnetic Reconnection at Boundaries of Interplanetary Small-scale Magnetic Flux Ropes,2010,"Tian, Hui",5,51,13,2010ApJ...720..454T
3558,"Mass Transfer, Transiting Stream, and Magnetopause in Close-in Exoplanetary Systems with Applications to WASP-12",2010,"Lai, Dong",3,116,54,2010ApJ...721..923L
3559,Light Scattering from Exoplanet Oceans and Atmospheres,2010,"Zugger, M. E.",5,61,23,2010ApJ...723.1168Z
3560,Environmental Dependence of the Star Formation Rate and the Specific Star Formation Rate at Fixed Morphology,2010,"Deng, Xin-Fa",1,32,24,2010ApJ...721..809D
3561,Fermi Gamma-ray Space Telescope Observations of Gamma-ray Outbursts from 3C 454.3 in 2009 December and 2010 April,2010,"Ackermann, M.",155,151,91,2010ApJ...721.1383A
3562,High-energy Emission Components in the Short GRB 090510,2010,"Corsi, Alessandra",3,64,43,2010ApJ...720.1008C
3563,A Suzaku X-ray Study of the Particle Acceleration Processes in the Relativistic Jet of Blazar Mrk 421,2010,"Garson, Alfred B., III",3,17,10,2010ApJ...722..358G
3564,Rotational Splitting of Pulsation Modes,2010,"Deupree, Robert G.",2,19,14,2010ApJ...721.1900D
3565,Stability of Magnetized Disks and Implications for Planet Formation,2010,"Lizano, Susana",4,17,6,2010ApJ...724.1561L
3566,A Spectropolarimetric View on the Nature of the Peculiar Type I SN 2005hk,2010,"Maund, Justyn R.",9,39,15,2010ApJ...722.1162M
3567,Time-resolved Spectroscopy of the Three Brightest and Hardest Short Gamma-ray Bursts Observed with the Fermi Gamma-ray Burst Monitor,2010,"Guiriec, Sylvain",28,83,44,2010ApJ...725..225G
3568,X-ray Emission from the Sombrero Galaxy: Discrete Sources,2010,"Li, Zhiyuan",10,22,6,2010ApJ...721.1368L
3569,Properties of the T8.5 Dwarf Wolf 940 B,2010,"Leggett, S. K.",6,27,17,2010ApJ...720..252L
3570,Supernova PTF 09UJ: A Possible Shock Breakout from a Dense Circumstellar Wind,2010,"Ofek, E. O.",32,171,64,2010ApJ...724.1396O
3571,Kepler Observations of Three Pre-launch Exoplanet Candidates: Discovery of Two Eclipsing Binaries and a New Exoplanet,2010,"Howell, Steve B.",9,16,7,2010ApJ...725.1633H
3572,Is H<SUP>+</SUP> an Efficient Destroyer of LiH Molecules? A Quantum Investigation at Early Universe Conditions,2010,"Bovino, S.",4,16,11,2010ApJ...724..126B
3573,On the Origin of the Red Excess in Very Young Super Star Clusters: The Case of SBS 0335-052E,2010,"Adamo, A.",4,39,18,2010ApJ...725.1620A
3574,An Optical-infrared Study of the Young Multipolar Planetary Nebula NGC 6644,2010,"Hsia, Chih-Hao",5,16,9,2010ApJ...725..173H
3575,Constraints on Natal Kicks in Galactic Double Neutron Star Systems,2010,"Wong, Tsing-Wai",3,68,24,2010ApJ...721.1689W
3576,Star Formation in the Taurus Filament L 1495: From Dense Cores to Stars,2010,"Schmalzl, Markus",9,62,30,2010ApJ...725.1327S
3577,Star-forming Dense Cloud Cores in the TeV Gamma-ray SNR RX J1713.7-3946,2010,"Sano, H.",26,68,21,2010ApJ...724...59S
3578,An Atlas of z = 5.7 and z = 6.5 Lyα Emitters,2010,"Hu, E. M.",6,198,90,2010ApJ...725..394H
3579,Evolution of the Axial Magnetic Field in Solar Filament Channels,2010,"Litvinenko, Yuri E.",1,10,7,2010ApJ...720..948L
3580,Chemistry in Evaporating Ices—Unexplored Territory,2010,"Cecchi-Pestellini, Cesare",4,10,4,2010ApJ...725.1581C
3581,Red Fraction Among Satellite Galaxies with Disk-like Light Profiles: Evidence for Inflow in the H I Disk,2010,"Hester, J. A.",1,6,1,2010ApJ...720..191H
3582,The Atacama Cosmology Telescope: Physical Properties and Purity of a Galaxy Cluster Sample Selected via the Sunyaev-Zel'dovich Effect,2010,"Menanteau, Felipe",51,114,64,2010ApJ...723.1523M
3583,The Submillimeter Spectrum of Glycolaldehyde,2010,"Carroll, P. Brandon",3,38,15,2010ApJ...723..845C
3584,Stellar Parameters and Metallicities of Stars Hosting Jovian and Neptunian Mass Planets: A Possible Dependence of Planetary Mass on Metallicity,2010,"Ghezzi, L.",6,159,72,2010ApJ...720.1290G
3585,Six High-precision Transits of OGLE-TR-113b,2010,"Adams, E. R.",5,25,8,2010ApJ...721.1829A
3586,"Late-time Observations of GRB 080319B: Jet Break, Host Galaxy, and Accompanying Supernova",2010,"Tanvir, N. R.",18,49,35,2010ApJ...725..625T
3587,Does Galactic Magnetic Field Disturb the Correlation of the Highest Energy Cosmic Rays with Their Sources?,2010,"Takami, Hajime",2,26,19,2010ApJ...724.1456T
3588,Multiple Origins of Nitrogen Isotopic Anomalies in Meteorites and Comets,2010,"Aléon, Jérôme",1,81,44,2010ApJ...722.1342A
3589,Impact of Chandra Calibration Uncertainties on Galaxy Cluster Temperatures: Application to the Hubble Constant,2010,"Reese, Erik D.",6,30,22,2010ApJ...721..653R
3590,Identification of Faint Chandra X-ray Sources in the Core-collapsed Globular Cluster NGC 6397: Evidence for a Bimodal Cataclysmic Variable Population,2010,"Cohn, Haldan N.",9,62,19,2010ApJ...722...20C
3591,Bullet Clusters in the MARENOSTRUM Universe,2010,"Forero-Romero, Jaime E.",3,23,16,2010ApJ...725..598F
3592,LoCuSS: Calibrating Mass-observable Scaling Relations for Cluster Cosmology with Subaru Weak-lensing Observations,2010,"Okabe, N.",7,105,55,2010ApJ...721..875O
3593,Resonant Interactions Between Protons and Oblique Alfvén/Ion-cyclotron Waves in the Solar Corona and Solar Flares,2010,"Chandran, Benjamin D. G.",7,25,14,2010ApJ...722..710C
3594,A Statistical Study of the Mass and Density Structure of Infrared Dark Clouds,2010,"Peretto, N.",2,68,47,2010ApJ...723..555P
3595,"On the O/H, Mg/H, Si/H, and Fe/H Gas and Dust Abundance Ratios in Galactic and Extragalactic H II Regions",2010,"Peimbert, Antonio",2,104,36,2010ApJ...724..791P
3596,Tracing the Hercules Stream Around the Galaxy,2010,"Bovy, Jo",1,32,12,2010ApJ...725.1676B
3597,The Chemistry of the Trailing Arm of the Sagittarius Dwarf Galaxy,2010,"Keller, Stefan C.",3,32,14,2010ApJ...720..940K
