Title,Year,First Author,Author Count,Citation Count,Citation Five Years,Bibcode
The Role of Type Ia Supernovae in Chemical Evolution. I. Lifetime of Type Ia Supernovae and Metallicity Effect,2009,"Kobayashi, Chiaki",2,169,64,2009ApJ...707.1466K
Reddening and Distance of the Local Group Starburst Galaxy IC 10,2009,"Kim, Minsun",8,31,12,2009ApJ...703..816K
The UV-Mid-IR Spectral Energy Distribution of a z = 1.7 Quasar Host Galaxy,2009,"Ross, N. R.",5,24,8,2009ApJ...702..472R
Constraining Low-Frequency Alfvénic Turbulence in the Solar Wind Using Density-Fluctuation Measurements,2009,"Chandran, Benjamin D. G.",5,99,35,2009ApJ...707.1668C
Absolute Dimensions of the G7+K7 Eclipsing Binary Star IM Virginis: Discrepancies with Stellar Evolution Models,2009,"Morales, Juan Carlos",4,42,19,2009ApJ...707..671M
Tidal Stripping of Globular Clusters in the Virgo Cluster,2009,"Coenda, Valeria",3,11,5,2009ApJ...700.1382C
Is the Universe Rotating?,2009,"Su, S. -C.",2,23,13,2009ApJ...703..354S
The Spectral Types of White Dwarfs in Messier 4,2009,"Davis, D. Saul",5,13,7,2009ApJ...705..398D
Extreme Magnification Microlensing Event OGLE-2008-BLG-279: Strong Limits on Planetary Companions to the Lens Star,2009,"Yee, J. C.",89,56,21,2009ApJ...703.2082Y
New Titanium Isotope Data for Allende and Efremovka CAIs,2009,"Leya, Ingo",4,53,14,2009ApJ...702.1118L
Steady and Transient Radio Emission from Ultracool Dwarfs,2009,"Osten, Rachel A.",5,35,14,2009ApJ...700.1750O
Enhanced Dense Gas Fraction in Ultraluminous Infrared Galaxies,2009,"Juneau, S.",7,111,49,2009ApJ...707.1217J
"A Multi-ionic Kinematic Investigation of NGC 595, a Giant Extragalactic H II Region in M33",2009,"Lagrois, Dominic",2,8,5,2009ApJ...700.1847L
Direct Calculation of the Turbulent Dissipation Efficiency in Anelastic Convection,2009,"Penev, Kaloyan",3,36,17,2009ApJ...705..285P
Three-dimensional Simulations of Magnetized Superbubbles: New Insights into the Importance of MHD Effects on Observed Quantities,2009,"Stil, Jeroen",4,37,17,2009ApJ...701..330S
Constraining Emission Models of Luminous Blazar Sources,2009,"Sikora, Marek",5,332,108,2009ApJ...704...38S
The Lifetime of Protoplanetary Disks in a Low-metallicity Environment,2009,"Yasui, Chikako",5,66,27,2009ApJ...705...54Y
The Spatially Resolved Star Formation Law From Integral Field Spectroscopy: VIRUS-P Observations of NGC 5194,2009,"Blanc, Guillermo A.",5,186,77,2009ApJ...704..842B
On the Size Evolution of a Galactic Disk in Hierarchical Merging of Cold Dark Matter Halos,2009,"Hayashi, Hirohito",2,1,0,2009ApJ...702..871H
Tracing the Inner Edge of the Disk Around HD 100546 with Rovibrational CO Emission Lines,2009,"Brittain, Sean D.",3,83,47,2009ApJ...702...85B
Dynamical Bar-Mode Instability in Differentially Rotating Magnetized Neutron Stars,2009,"Camarda, Karen D.",4,21,7,2009ApJ...707.1610C
X-ray Point Sources and Radio Galaxies in Clusters of Galaxies,2009,"Hart, Quyen N.",3,29,22,2009ApJ...705..854H
The Irradiation-induced Olivine to Amorphous Pyroxene Transformation Preserved in an Interplanetary Dust Particle,2009,"Rietmeijer, Frans J. M.",1,21,8,2009ApJ...705..791R
"ERRATUM: ""The Detailed Evolution of E+A Galaxies Into Early Types"" <A href=""bib_query\?2008ApJ...688..945Y"">(2008, ApJ, 688, 945)</A>",2009,"Yang, Yujin",4,3,0,2009ApJ...702.1683Y
Twisted Flux Tube Emergence from the Convection Zone to the Corona. II. Later States,2009,"Martínez-Sykora, Juan",3,63,44,2009ApJ...702..129M
Solar Flows and Their Effect on Frequencies of Acoustic Modes,2009,"Chatterjee, Piyali",2,14,8,2009ApJ...707..208C
Spherically Symmetric Stellar Clusters with Anisotropy And Cutoff Energy in Momentum Distribution. I. The Newtonian Regime,2009,"Bisnovatyi-Kogan, Gennady S.",3,4,3,2009ApJ...703..628B
Statistics of Flaring Loops Observed by Nobeyama Radioheliograph. II. Spectral Evolution,2009,"Huang, Guangli",2,9,8,2009ApJ...702...19H
Midcourse Space Experiment Versus IRAS Two-Color Diagrams and the Circumstellar Envelope-Sequence of Oxygen-Rich Late-Type Stars,2009,"Sjouwerman, Loránt O.",3,26,2,2009ApJ...705.1554S
CHIANTI—An Atomic Database for Emission Lines. X. Spectral Atlas of a Cold Feature Observed with Hinode/EUV Imaging Spectrometer,2009,"Landi, E.",2,39,18,2009ApJ...706....1L
Focusing Cosmic Telescopes: Exploring Redshift z ~ 5-6 Galaxies with the Bullet Cluster 1E0657 - 56,2009,"Bradač, Maruša",10,121,25,2009ApJ...706.1201B
Re-analysis of the Radio Luminosity Function of Galactic H II Regions,2009,"Paladini, R.",4,6,3,2009ApJ...702.1036P
Fermi Observations of TeV-Selected Active Galactic Nuclei,2009,"Abdo, A. A.",180,132,82,2009ApJ...707.1310A
No Observational Constraints from Hypothetical Collisions of Hypothetical Dark Halo Primordial Black Holes with Galactic Objects,2009,"Abramowicz, Marek A.",6,42,15,2009ApJ...705..659A
Chandra High-Energy Transmission Grating Spectrum of AE Aquarii,2009,"Mauche, Christopher W.",1,16,9,2009ApJ...706..130M
An Axisymmetric Hydrodynamical Model for the Torus Wind in Active Galactic Nucleus. III. Spectra from Three-Dimensional Radiation Transfer Calculations,2009,"Dorodnitsyn, A.",2,13,9,2009ApJ...703.1797D
A Two Micron All Sky Survey Analysis of the Stability of Southern Bok Globules,2009,"Racca, Germán A.",3,12,6,2009ApJ...703.1444R
Lensing Bias in Cosmic Shear,2009,"Schmidt, Fabian",5,60,21,2009ApJ...702..593S
Observational Constraints on the Co-Evolution of Supermassive Black Holes and Galaxies,2009,"Zheng, X. Z.",9,44,22,2009ApJ...707.1566Z
Wouthuysen-field Coupling in the 21 cm Region Around High-redshift Sources,2009,"Roy, Ishani",5,8,7,2009ApJ...703.1992R
Strömgren Photometry of Galactic Globular Clusters. II. Metallicity Distribution of Red Giants in ω Centauri,2009,"Calamida, A.",27,60,37,2009ApJ...706.1277C
Massive Clusters in the Inner Regions of NGC 1365: Cluster Formation and Gas Dynamics in Galactic Bars,2009,"Elmegreen, Bruce G.",3,42,15,2009ApJ...703.1297E
The Extragalactic Background Light Absorption Feature in the Blazar Component of the Extragalactic Gamma-ray Background,2009,"Venters, Tonia M.",3,31,17,2009ApJ...703.1939V
Active Galactic Nuclei and the Truncation of Star Formation in K+A Galaxies,2009,"Brown, Michael J. I.",10,25,10,2009ApJ...703..150B
A Mapping Survey of Dense Clumps Associated with Embedded Clusters: Evolutionary Stages of Cluster-forming Clumps,2009,"Higuchi, Aya E.",4,41,20,2009ApJ...705..468H
Photodissociation Chemistry Footprints in the Starburst Galaxy NGC 253,2009,"Martín, Sergio",3,45,15,2009ApJ...706.1323M
Pitch-Angle Diffusion Coefficients of Charged Particles from Computer Simulations,2009,"Qin, G.",2,63,30,2009ApJ...707...61Q
On the Extended Structure of the Phoenix Dwarf Galaxy,2009,"Hidalgo, Sebastian L.",4,75,36,2009ApJ...705..704H
Magnetohydrodynamics Study of Three-Dimensional Fast Magnetic Reconnection for Intermittent Snake-Like Downflows in Solar Flares,2009,"Shimizu, T.",4,22,15,2009ApJ...707..420S
Xmm-Newton X-Ray Detection of the High-Magnetic-Field Radio Pulsar PSR B1916+14,2009,"Zhu, Weiwei",4,21,14,2009ApJ...704.1321Z
Star-Forming or Starbursting? The Ultraviolet Conundrum,2009,"Boquien, M.",9,63,26,2009ApJ...706..553B
Photospheric Motions and Their Effects on the Corona: A Numerical Approach,2009,"Gomes de Jesus, Leandro Filipe",2,0,0,2009ApJ...704..705G
Modeling Gamma-Ray Burst X-Ray Flares Within the Internal Shock Model,2009,"Maxham, Amanda",2,65,28,2009ApJ...707.1623M
Turbulence-Induced Magnetic Fields and Structure of Cosmic Ray Modified Shocks,2009,"Beresnyak, A.",3,98,48,2009ApJ...707.1541B
Does Stellar Feedback Create H I Holes? A Hubble Space Telescope/Very Large Array Study of Holmberg II,2009,"Weisz, Daniel R.",7,52,23,2009ApJ...704.1538W
On the Nature of the First Galaxies Selected at 350 μm,2009,"Khan, Sophia A.",21,2,2,2009ApJ...706..319K
The Highest Resolution Chandra View of Photoionization and Jet-Cloud Interaction in the Nuclear Region of NGC 4151,2009,"Wang, Junfeng",7,25,10,2009ApJ...704.1195W
The Arecibo Methanol Maser Galactic Plane Survey. III. Distances and Luminosities,2009,"Pandian, J. D.",3,41,25,2009ApJ...706.1609P
Spectroscopic Study of the Variability of Three Northern Of<SUP>+</SUP> Supergiants,2009,"De Becker, M.",3,10,6,2009ApJ...704..964D
Statistical Tools for Classifying Galaxy Group Dynamics,2009,"Hou, Annie",4,97,35,2009ApJ...702.1199H
Cross-correlation Weak Lensing of SDSS Galaxy Clusters. I. Measurements,2009,"Sheldon, Erin S.",15,131,95,2009ApJ...703.2217S
Strong [O III] Objects Among SDSS Broad-line Active Galaxies,2009,"Ludwig, Randi R.",4,16,9,2009ApJ...706..995L
HAT-P-12b: A Low-Density Sub-Saturn Mass Planet Transiting a Metal-Poor K Dwarf,2009,"Hartman, J. D.",21,108,42,2009ApJ...706..785H
Diffuse X-ray Emission in Globular Cluster Cores,2009,"Hui, C. Y.",3,14,8,2009ApJ...700.1233H
Metal-Enriched Outflows in the Ultraluminous Infrared Quasar Q1321+058,2009,"Wang, Tinggui",6,11,8,2009ApJ...702..851W
Solar Cycle Variations of Coronal Null Points: Implications for the Magnetic Breakout Model of Coronal Mass Ejections,2009,"Cook, G. R.",3,28,14,2009ApJ...704.1021C
"Time Evolution of Viscous Circumstellar Disks due to Photoevaporation by Far-Ultraviolet, Extreme-Ultraviolet, and X-ray Radiation from the Central Star",2009,"Gorti, U.",3,246,107,2009ApJ...705.1237G
The Dominance of Metal-rich Streams in Stellar Halos: A Comparison Between Substructure in M31 and ΛCDM Models,2009,"Gilbert, Karoline M.",4,47,22,2009ApJ...701..776G
The 2008 August 1 Eclipse Solar-Minimum Corona Unraveled,2009,"Pasachoff, J. M.",6,37,16,2009ApJ...702.1297P
Measuring the Spin of GRS 1915+105 with Relativistic Disk Reflection,2009,"Blum, J. L.",8,100,42,2009ApJ...706...60B
Planetary Nebulae Detected in the Spitzer Space Telescope GLIMPSE II Legacy Survey,2009,"Zhang, Yong",2,22,12,2009ApJ...706..252Z
Discovery of a Transiting Planet and Eight Eclipsing Binaries in HATNet Field G205,2009,"Latham, David W.",19,95,60,2009ApJ...704.1107L
K2: A New Method for the Detection of Galaxy Clusters Based on Canada-France-Hawaii Telescope Legacy Survey Multicolor Images,2009,"Thanjavur, Karun",3,24,14,2009ApJ...706..571T
Formation of High-Redshift (z&gt;6) Quasars Driven by Nuclear Starbursts,2009,"Kawakatu, Nozomu",2,25,13,2009ApJ...706..676K
The Quasar SDSS J105041.35+345631.3: Black Hole Recoil or Extreme Double-Peaked Emitter?,2009,"Shields, G. A.",11,79,52,2009ApJ...707..936S
"IRAS 16293: A ""Magnetic"" Tale of Two Cores",2009,"Rao, Ramprasad",5,103,37,2009ApJ...707..921R
90 GHz and 150 GHz Observations of the Orion M42 Region. A Submillimeter to Radio Analysis,2009,"Dicker, S. R.",16,34,23,2009ApJ...705..226D
Condensed Matter Astrophysics: A Prescription for Determining the Species-specific Composition and Quantity of Interstellar Dust Using X-rays,2009,"Lee, Julia C.",5,67,18,2009ApJ...702..970L
Dynamics and Eccentricity Formation of Planets in OGLE-06-109L System,2009,"Wang, Su",3,5,3,2009ApJ...706..772W
CANGAROO-III Search for TeV Gamma Rays from Two Clusters of Galaxies,2009,"Kiuchi, R.",50,21,17,2009ApJ...704..240K
"Discerning the Physical Origins of Cosmological Gamma-ray Bursts Based on Multiple Observational Criteria: The Cases of z = 6.7 GRB 080913, z = 8.2 GRB 090423, and Some Short/Hard GRBs",2009,"Zhang, Bing",13,374,132,2009ApJ...703.1696Z
X-ray and Radio Timing of the Pulsar in 3C 58,2009,"Livingstone, Margaret A.",7,56,17,2009ApJ...706.1163L
Discrepant Mass Estimates in the Cluster of Galaxies Abell 1689,2009,"Peng, E. -H.",4,36,26,2009ApJ...701.1283P
Spatially Resolved Galaxy Star Formation and Its Environmental Dependence. II. Effect of the Morphology-Density Relation,2009,"Welikala, Niraj",4,16,10,2009ApJ...701..994W
Physical Conditions in the Low-ionization Component of Starburst Outflows: The Shape of Near-Ultraviolet and Optical Absorption-line Troughs in Keck Spectra of ULIRGs,2009,"Martin, Crystal L.",2,119,52,2009ApJ...703.1394M
Observational Window Functions in Planet Transit Surveys,2009,"von Braun, Kaspar",3,28,16,2009ApJ...702..779V
"Quantifying the Anisotropy and Solar Cycle Dependence of ""1/f"" Solar Wind Fluctuations Observed by Advanced Composition Explorer",2009,"Nicol, R. M.",3,17,11,2009ApJ...703.2138N
A Possible Supernova Remnant High Above the Galactic Disk,2009,"Henley, David B.",2,3,2,2009ApJ...701.1880H
Impact of the 1/f Noise and the Asymmetric Beam on Non-Gaussianity Searches with Planck,2009,"Donzelli, Simona",4,9,6,2009ApJ...706.1226D
Fuzzy Supernova Templates. I. Classification,2009,"Rodney, Steven A.",2,34,23,2009ApJ...707.1064R
Multi-Scale Morphological Analysis of SDSS DR5 Survey Using the Metric Space Technique,2009,"Wu, Yongfeng",3,12,8,2009ApJ...707.1160W
Red Supergiants in the Andromeda Galaxy (M31),2009,"Massey, Philip",8,88,23,2009ApJ...703..420M
Analytic Modeling of the Moreton Wave Kinematics,2009,"Temmer, M.",4,40,20,2009ApJ...702.1343T
"The Star Formation Histories of Red-Sequence Galaxies, Mass-to-Light Ratios and the Fundamental Plane",2009,"Allanson, Steven P.",4,33,23,2009ApJ...702.1275A
Heat and Dust in Active Layers of Protostellar Disks,2009,"Bai, Xue-Ning",2,152,50,2009ApJ...701..737B
Magnetic Field Topology in Low-Mass Stars: Spectropolarimetric Observations of M Dwarfs,2009,"Phan-Bao, Ngoc",5,43,21,2009ApJ...704.1721P
A Millimeter-wave Interferometric Study of Dust and CO Disks Around Late Spectral Type Stars in Taurus-Auriga,2009,"Schaefer, G. H.",5,59,26,2009ApJ...701..698S
"HAT-P-13b,c: A Transiting Hot Jupiter with a Massive Outer Companion on an Eccentric Orbit",2009,"Bakos, G. Á.",19,118,66,2009ApJ...707..446B
The Imprint of Dissipation on the Shapes of Merger Remnant LOSVDs,2009,"Hoffman, Loren",4,44,26,2009ApJ...705..920H
Rotation of the Warm Molecular Gas Surrounding Ultracompact H II Regions,2009,"Klaassen, P. D.",4,47,30,2009ApJ...703.1308K
Solar Wind Magnetohydrodynamics Turbulence: Anomalous Scaling and Role of Intermittency,2009,"Salem, C.",4,138,42,2009ApJ...702..537S
"Erratum: ""Quiescent Dense Gas in Protostellar Clusters: The Ophiuchus a Core"" <A href=""/abs/2004ApJ...617..425D"">(2004, ApJ, 617, 425)</A>",2009,"Di Francesco, James",3,2,2,2009ApJ...700.1994D
The Correlation Between X-Ray Line Ionization and Optical Spectral Types of the OB Stars,2009,"Walborn, Nolan R.",3,26,15,2009ApJ...703..633W
Untwisting Magnetospheres of Neutron Stars,2009,"Beloborodov, Andrei M.",1,269,84,2009ApJ...703.1044B
Heavily Obscured AGN in Star-Forming Galaxies at z sime 2,2009,"Treister, E.",13,79,49,2009ApJ...706..535T
Dynamic S0 Galaxies: A Case Study of NGC 5866,2009,"Li, Jiang-Tao",4,25,12,2009ApJ...706..693L
"Beryllium, Oxygen, and Iron Abundances in Extremely Metal-Deficient Stars",2009,"Rich, Jeffrey A.",2,49,30,2009ApJ...701.1519R
Estimation of the Viscosity Parameter in Accretion Disks of Blazars,2009,"Xie, Z. H.",7,12,5,2009ApJ...707..866X
Nonlinear Dynamical Friction in a Gaseous Medium,2009,"Kim, Hyosun",2,45,22,2009ApJ...703.1278K
"Shock Speed, Cosmic Ray Pressure, and Gas Temperature in the Cygnus Loop",2009,"Salvesen, Greg",3,38,13,2009ApJ...702..327S
Structural Parameters of Stellar Disks from two Micron All Sky Survey Images of Edge-on Galaxies,2009,"Bizyaev, Dmitry",2,32,16,2009ApJ...702.1567B
Radiative Cooling in Relativistic Collisionless Shocks: Can Simulations and Experiments Probe Relevant Gamma-ray Burst Physics?,2009,"Medvedev, Mikhail V.",2,37,27,2009ApJ...700..956M
Spitzer/Infrared Array Camera Limits to Planetary Companions of Fomalhaut and epsilon Eridani,2009,"Marengo, Massimo",8,53,26,2009ApJ...700.1647M
Excitation of Extended Red Emission and Near-Infrared Continuum Radiation in the Interstellar Medium,2009,"Duley, W. W.",1,14,4,2009ApJ...705..446D
A Spitzer Unbiased Ultradeep Spectroscopic Survey,2009,"Bertincourt, B.",12,5,2,2009ApJ...705...68B
Analytical Theory for the Initial Mass Function. II. Properties of the Flow,2009,"Hennebelle, Patrick",2,163,76,2009ApJ...702.1428H
Radio Detection of LAT PSRs J1741-2054 and J2032+4127: No Longer Just Gamma-ray Pulsars,2009,"Camilo, F.",27,135,70,2009ApJ...705....1C
Evolution of Very Massive Population III Stars with Mass Accretion from Pre-main Sequence to Collapse,2009,"Ohkubo, Takuya",5,107,45,2009ApJ...706.1184O
Tracing Molecular Gas Mass in Extreme Extragalactic Environments: An Observational Study,2009,"Zhu, Ming",5,37,24,2009ApJ...706..941Z
A Universal Mass Profile for Dwarf Spheroidal Galaxies?,2009,"Walker, Matthew G.",6,626,230,2009ApJ...704.1274W
The Optical Structure of the Starburst Galaxy M82. II. Nebular Properties of the Disk and Inner Wind,2009,"Westmoquette, M. S.",6,61,36,2009ApJ...706.1571W
Active Galactic Nuclei in Groups and Clusters of Galaxies: Detection and Host Morphology,2009,"Arnold, Timothy J.",5,57,25,2009ApJ...707.1691A
The Spitzer View of FR I Radio Galaxies: On the Origin of the Nuclear Mid-Infrared Continuum,2009,"Leipski, C.",4,47,27,2009ApJ...701..891L
Two Exoplanets Discovered at Keck Observatory,2009,"Valenti, Jeff A.",9,50,27,2009ApJ...702..989V
Formation and Identification of Interstellar Molecule Linear C<SUB>5</SUB>H from Photolysis of Methane Dispersed in Solid Neon,2009,"Wu, Yu-Jong",9,27,13,2009ApJ...701....8W
Trigonometric Parallaxes of Massive Star-Forming Regions. VII. G9.62+0.20 and the Expanding 3 kpc ARM,2009,"Sanna, A.",8,72,43,2009ApJ...706..464S
Host Galaxies of z = 4 Quasars,2009,"McLeod, K. K.",2,19,8,2009ApJ...704..415M
The Interaction of Alfvén Waves with Perpendicular Shocks,2009,"Lu, Quanming",3,41,11,2009ApJ...706..687L
Disk and Envelope Structure in Class 0 Protostars. I. The Resolved Massive Disk in Serpens Firs 1,2009,"Enoch, Melissa L.",4,71,50,2009ApJ...707..103E
Simulations of the Boundary Layer Between a White Dwarf and Its Accretion Disk,2009,"Balsara, Dinshaw S.",4,26,12,2009ApJ...702.1536B
Planets and Debris Disks: Results from a Spitzer/MIPS Search for Infrared Excess,2009,"Bryden, G.",13,117,64,2009ApJ...705.1226B
New Light in Star-Forming Dwarf Galaxies: The PMAS Integral Field View of the Blue Compact Dwarf Galaxy Mrk 409,2009,"Cairós, Luz M.",7,31,14,2009ApJ...707.1676C
"Sunspot Rotation, Flare Energetics, and Flux Rope Helicity: The Eruptive Flare on 2005 May 13",2009,"Kazachenko, Maria D.",6,51,26,2009ApJ...704.1146K
Testing Models of Accretion-Driven Coronal Heating and Stellar Wind Acceleration for T Tauri Stars,2009,"Cranmer, Steven R.",1,72,37,2009ApJ...706..824C
Flares on a Bp Star,2009,"Mullan, D. J.",1,13,3,2009ApJ...702..759M
Influence of Thermohaline Convection on Diffusion-Induced Iron Accumulation in a Stars,2009,"Théado, S.",4,80,40,2009ApJ...704.1262T
A Comparison of the Afterglows of Short- and Long-duration Gamma-ray Bursts,2009,"Nysewander, M.",3,144,77,2009ApJ...701..824N
Interacting Binaries with Eccentric Orbits. II. Secular Orbital Evolution due to Non-conservative Mass Transfer,2009,"Sepinsky, J. F.",4,77,21,2009ApJ...702.1387S
"Local Lyman Break Galaxy Analogs: The Impact of Massive Star-Forming Clumps on the Interstellar Medium and the Global Structure of Young, Forming Galaxies",2009,"Overzier, Roderik A.",13,106,47,2009ApJ...706..203O
Benefits of Ground-Based Photometric Follow-Up for Transiting Extrasolar Planets Discovered with Kepler and CoRoT,2009,"Colón, Knicole D.",2,12,10,2009ApJ...703.1086C
The Dual Origin of Stellar Halos,2009,"Zolotov, Adi",8,304,105,2009ApJ...702.1058Z
Radio and Mid-Infrared Identification of Blast Source Counterparts in the Chandra Deep Field South,2009,"Dye, Simon",31,44,42,2009ApJ...703..285D
Using Optical/Near-Infrared Interferometric Polarimetry to Place Constraints on the Disks Surrounding Be Stars,2009,"Mackay, F. E.",4,11,9,2009ApJ...704..591M
Evidence for Nonlinear Growth of Structure from an X-Ray-Selected Cluster Survey using a Novel Joint Analysis of the Chandra and XMM-Newton Archives,2009,"Peterson, J. R.",5,2,2,2009ApJ...707..878P
Discovery of Candidate H<SUB>2</SUB>O Disk Masers in Active Galactic Nuclei and Estimations Of Centripetal Accelerations,2009,"Greenhill, Lincoln J.",4,31,11,2009ApJ...707..787G
Magnetic Reconnection along Quasi-separatrix Layers as a Driver of Ubiquitous Active Region Outflows,2009,"Baker, D.",5,117,60,2009ApJ...705..926B
"Chianti—An Atomic Database for Emission Lines. XI. Extreme-Ultraviolet Emission Lines of Fe VII, Fe VIII, and Fe IX Observed by Hinode/EIS",2009,"Young, P. R.",2,37,19,2009ApJ...707..173Y
Combining Semianalytic Models with Simulations of Galaxy Clusters: The Need for Heating from Active Galactic Nuclei,2009,"Short, C. J.",2,32,30,2009ApJ...704..915S
"Multiwavelength Observations of LS I +61° 303 with Veritas, Swift, and RXTE",2009,"Acciari, V. A.",87,39,34,2009ApJ...700.1034A
A Chandra X-ray View of Stephan's Quintet: Shocks and Star Formation,2009,"O'Sullivan, E.",5,47,23,2009ApJ...701.1560O
The Origin of Large Peculiar Motions of Star-Forming Regions and Spiral Structures of Our Galaxy,2009,"Baba, Junichi",6,96,38,2009ApJ...706..471B
Supermassive Black Holes in the Hierarchical Universe: A General Framework and Observational Tests,2009,"Shen, Yue",1,94,56,2009ApJ...704...89S
Driven Waves as a Diagnostics Tool in the Solar Corona,2009,"Kaghashvili, Edisher Kh.",3,18,11,2009ApJ...703.1318K
Evidence for Dust Clearing Through Resolved Submillimeter Imaging,2009,"Brown, J. M.",6,195,96,2009ApJ...704..496B
Formation Conditions of Icy Materials in Comet C/2004 q2 (Machholz). I. Mixing Ratios of Organic Volatiles,2009,"Kobayashi, Hitomi",2,16,10,2009ApJ...703..121K
X-ray Signature of Charge Exchange in L-shell Sulfur Ions,2009,"Frankel, M.",7,10,2,2009ApJ...702..171F
"Radial Distribution of Stars, Gas, and Dust in SINGS Galaxies. I. Surface Photometry and Morphology",2009,"Muñoz-Mateos, J. C.",14,130,63,2009ApJ...703.1569M
Fan-Spine Topology Formation Through Two-Step Reconnection Driven by Twisted Flux Emergence,2009,"Török, T.",5,139,49,2009ApJ...704..485T
Dissipation Wavenumbers for Turbulence in Electron-Positron Plasmas,2009,"Gary, S. Peter",3,3,2,2009ApJ...701.1695G
Fitting Liner Nuclei within the Active Galactic Nucleus Family: A Matter of Obscuration?,2009,"González-Martín, O.",4,69,31,2009ApJ...704.1570G
Semiempirical Models of the Solar Atmosphere. III. Set of Non-LTE Models for Far-Ultraviolet/Extreme-Ultraviolet Irradiance Computation,2009,"Fontenla, J. M.",5,157,60,2009ApJ...707..482F
Characteristic Dependence of Umbral Dots on Their Magnetic Structure,2009,"Watanabe, H.",3,38,19,2009ApJ...702.1048W
Additive Self-helicity as a Kink Mode Threshold,2009,"Malanushenko, A.",4,14,7,2009ApJ...702..580M
BLAST: A Far-Infrared Measurement of the History of Star Formation,2009,"Pascale, Enzo",29,68,60,2009ApJ...707.1740P
The Accuracy of Using the Ulysses Result of the Spatial Invariance of the Radial Heliospheric Field to Compute the Open Solar Flux,2009,"Lockwood, M.",2,32,18,2009ApJ...701..964L
Observations of the Magnetic Reconnection Signature of an M2 Flare on 2000 March 23,2009,"Li, Leping",2,27,7,2009ApJ...703..877L
The Nature of Optically Dull Active Galactic Nuclei in COSMOS,2009,"Trump, Jonathan R.",20,50,29,2009ApJ...706..797T
"Reanalysis of Data Taken by the Cangaroo 3.8 Meter Imaging Atmospheric Cherenkov Telescope: PSR B1706-44, SN 1006, and Vela",2009,"Yoshikoshi, T.",13,4,4,2009ApJ...702..631Y
Rossi X-Ray Timing Explorer Monitoring of the Anomalous X-ray Pulsar 1E 1048.1 - 5937: Long-term Variability and the 2007 March Event,2009,"Dib, Rim",3,77,41,2009ApJ...702..614D
Turbulence Effects on the Charge Capture Process in Weak Turbulent Plasmas,2009,"Na, Sang-Chul",2,3,1,2009ApJ...707..539N
Radiative Models of SGR A* from GRMHD Simulations,2009,"Mościbrodzka, Monika",5,286,81,2009ApJ...706..497M
V3885 Sagittarius: A Comparison with a Range of Standard Model Accretion Disks,2009,"Linnell, Albert P.",6,21,11,2009ApJ...703.1839L
X-Ray Emission and Corona of the Young Intermediate-Mass Binary θ<SUP>1</SUP> Ori E,2009,"Huenemoerder, David P.",5,9,5,2009ApJ...707..942H
Upflows in Funnel-like Legs of Coronal Magnetic Loops,2009,"Tian, Hui",4,43,18,2009ApJ...704..883T
The Temperature of the Cosmic Microwave Background,2009,"Fixsen, D. J.",1,873,108,2009ApJ...707..916F
A New Probe of Dark Matter and High-Energy Universe Using Microlensing,2009,"Ricotti, Massimo",2,151,33,2009ApJ...707..979R
A Chandra Survey of the X-ray Properties of Broad Absorption Line Radio-Loud Quasars,2009,"Miller, B. P.",5,22,15,2009ApJ...702..911M
A Comprehensive Analysis of Swift/X-Ray Telescope Data. IV. Single Power-Law Decaying Light Curves Versus Canonical Light Curves and Implications for a Unified Origin of X-Rays,2009,"Liang, En-Wei",5,55,37,2009ApJ...707..328L
Suzaku Observation of the Giant Radio Galaxy 3C 326,2009,"Isobe, Naoki",8,22,12,2009ApJ...706..454I
Self-organized Braiding and the Structure of Coronal Loops,2009,"Berger, Mitchell A.",2,51,21,2009ApJ...705..347B
Starburst-Driven Galactic Winds: Filament Formation and Emission Processes,2009,"Cooper, Jackie L.",4,168,28,2009ApJ...703..330C
Luminosity Functions of LMXBs in Centaurus a: Globular Clusters Versus the Field,2009,"Voss, Rasmus",19,41,29,2009ApJ...701..471V
The High-Energy Emission of the Crab Nebula from 20 keV TO 6 MeV with Integral SPI,2009,"Jourdain, E.",2,67,28,2009ApJ...704...17J
The Transit Ingress and the Tilted Orbit of the Extraordinarily Eccentric Exoplanet HD 80606b,2009,"Winn, Joshua N.",21,72,47,2009ApJ...703.2091W
The Infrared Spectrum of Protonated Naphthalene and Its Relevance for the Unidentified Infrared Bands,2009,"Ricks, Allen M.",3,114,56,2009ApJ...702..301R
Follow-Up Observations of the Second and Third Known Pulsating Hot DQ White Dwarfs,2009,"Dufour, P.",6,13,9,2009ApJ...703..240D
AKARI Infrared Observations of the Supernova Remnant G292.0+1.8: Unveiling Circumstellar Medium and Supernova Ejecta,2009,"Lee, Ho-Gyu",9,23,15,2009ApJ...706..441L
Simulations of Magnetohydrodynamics Instabilities in Intracluster Medium Including Anisotropic Thermal Conduction,2009,"Bogdanović, Tamara",4,68,42,2009ApJ...704..211B
The Fermi Gamma-ray Burst Monitor,2009,"Meegan, Charles",21,1340,263,2009ApJ...702..791M
Supernova 2003bg: The First Type IIb Hypernova,2009,"Hamuy, Mario",21,64,28,2009ApJ...703.1612H
"Deconstructing Active Region AR10961 Using STEREO, Hinode, TRACE, and SOHO",2009,"Noglik, Jane B.",4,5,5,2009ApJ...703.1923N
Evidence for Mass Ejection Associated with Long Secondary Periods in Red Giants,2009,"Wood, P. R.",2,50,24,2009ApJ...707..573W
